project_id,weather_station,zipcode,address,city,state,year_built,retrofit_start_date,retrofit_end_date
SEHDPS1526388839,722976,91789,,,CA,1965,,10/3/12
ACFSCF,723890,93727,,Fresno AP,CA,1980,,3/15/12
F94QU3,724830,95762,,El Dorado Hills,CA,1978,,9/12/11
YW921E,724940,94402,,San Mateo,CA,1958,,12/7/11
BHQU2V,724920,95219,,Stockton AP,CA,1979,,10/31/11
2J5SVC,724955,94901,,San Rafael,CA,1906,,2/7/12
SEHDPS1526388932,722976,91790,,,CA,1953,,9/17/12
SEHDPS1526388837,722976,91006,,,CA,1953,,8/9/12
U1SO2L,724830,95630,,Folsom,CA,1993,,1/12/12
85RF4X,724940,94010,,Burlingame,CA,1930,,2/4/12
8EB2ZT,724927,94566,,Pleasanton,CA,1991,,3/2/12
SEHDPS1526388934,722899,91767,,,CA,1963,,9/27/12
70883,724936,94553,,Martinez FS,CA,1975,,9/9/11
JWE3FW,724830,95608,,Carmichael,CA,1962,,12/22/11
QOR1W7,724830,95826,,Sacramento AP,CA,1979,,12/27/11
SEHDPS1526388831,722976,91748,,,CA,1971,,9/6/12
SEHDPS1526388830,722970,90713,,,CA,1950,,10/15/12
31XERJ,724830,95632,,Galt,CA,1993,,12/23/11
YBCU91,724936,94518,,Concord,CA,1950,,12/17/11
SGHDPS1526228089,723940,93455,,,CA,1982,,9/19/12
SV1LN6,724930,94710,,Berkeley,CA,1940,,1/30/12
271KZF,724830,95826,,Sacramento AP,CA,1970,,1/18/12
RFNVY9,724930,94706,,Albany,CA,1936,,11/15/11
RFQKPT,745090,94040,,Sunnyvale,CA,1954,,12/6/11
RWCXJ0,724830,95682,,Cameron Park,CA,1978,,3/13/12
SEHDPS1526388215,722899,91711,,,CA,1966,,12/23/11
SEHDPS1526388742,722956,90505,,,CA,Not Available,,7/10/12
PI633B,724935,94544,,Hayward,CA,1955,,1/19/12
EA8YGB,724830,95762,,El Dorado Hills,CA,1985,,3/30/12
SEHDPS1526388216,722885,90212,,,CA,1924,,10/20/11
VG8LK3,724920,95210,,Stockton AP,CA,1956,,9/13/11
YN658I,724830,95822,,Sacramento AP,CA,1980,,3/23/12
CRCG6D,724927,94588,,Pleasanton,CA,1970,,2/16/12
GJR27V,724936,94510,,Benicia,CA,1978,,1/19/12
GAQSTQ,724940,94403,,San Mateo,CA,1948,,2/22/12
W129RV,724936,94598,,Walnut Creek,CA,1983,,10/3/11
3PYWHA,724936,94553,,Martinez FS,CA,1971,,9/9/11
2Q3G14,724930,94611,,Oakland AP,CA,1997,,12/17/11
U06FVD,724926,95354,,Modesto,CA,1988,,3/23/12
SEHDPS1526382282,722976,92886,,,CA,Not Available,,6/20/12
SEHDPS1526382283,722899,91724,,,CA,1956,,7/13/12
0AZW83,724830,95670,,Rancho Cordova,CA,1988,,2/15/12
L5QNR2,724830,95608,,Sacramento CO,CA,1990,,2/9/12
