project_id,contractor,electricity_iou,gas_iou,weather_normalized_yearly_kwh_savings,weather_normalized_yearly_therm_savings,predicted_yearly_kwh_savings,predicted_yearly_therm_savings
8EB2ZT,Contractor 1,Utility 4,Utility 4,-533.7110511,0.0,242.98,4933.177
SEHDPS1526388934,Contractor 2,Utility 3,Utility 9,6129.9045909999995,-30.80960631,2426.0,294.0
70883,Contractor 3,Utility 4,Utility 4,403.854298,141.3515721,291.28,2034.5839999999998
JWE3FW,Contractor 4,Utility 10,Utility 10,-288.4054758,102.008555,283.05,4492.087
QOR1W7,Contractor 5,Utility 10,Utility 10,-2543.336539,324.47135380000003,299.09,4245.018
SEHDPS1526388831,Contractor 6,Utility 3,Utility 9,398.95606410000005,84.69724111,352.0,208.0
SEHDPS1526388830,Contractor 7,Utility 3,Utility 9,1972.824095,0.0,1900.0,139.0
31XERJ,Contractor 8,Utility 10,Utility 10,4070.7497909999997,0.0,208.24,4942.263
YBCU91,Contractor 9,Utility 4,Utility 4,0.0,85.59070911,234.53,3766.12
SGHDPS1526228089,Contractor 10,Utility 4,Utility 9,742.2525508,47.88687307,631.0,258.0
SV1LN6,Contractor 11,Utility 4,Utility 4,1558.6504439999999,57.71015239,515.16,724.5018
271KZF,Contractor 8,Utility 10,Utility 10,58.72500131,0.0,467.45,2579.426
RFNVY9,Contractor 12,Utility 4,Utility 4,5946.728363,63.37175591,437.81,500.5862
RFQKPT,Contractor 13,Utility 4,Utility 4,0.0,133.53890239999998,449.42,539.5662
RWCXJ0,Contractor 5,Utility 4,Utility 4,0.0,10.82051208,,7131.594
SEHDPS1526388215,Contractor 14,Utility 3,Utility 9,2143.801713,0.0,5634.0,166.0
SEHDPS1526388742,Contractor 15,Utility 3,Utility 9,-576.6084292,0.0,473.0,340.0
PI633B,Contractor 9,Utility 4,Utility 4,0.0,6.4834854889999995,138.9,136.5768
EA8YGB,Contractor 5,Utility 4,Utility 4,0.0,0.0,120.3,3421.1609999999996
SEHDPS1526388216,Contractor 16,Utility 3,Utility 9,0.0,28.82334953,4237.0,148.0
VG8LK3,Contractor 17,Utility 4,Utility 4,667.4179757,146.47285540000001,296.2,4721.571
YN658I,Contractor 8,Utility 10,Utility 10,0.0,79.63245471,359.18,3640.387
CRCG6D,Contractor 17,Utility 4,Utility 4,-244.78812850000003,197.1493774,286.4,1360.4920000000002
GJR27V,Contractor 3,Utility 4,Utility 4,-588.1360159,222.8016358,388.42,351.4068
GAQSTQ,Contractor 18,Utility 4,Utility 4,977.3966001,0.0,326.66,423.7984
W129RV,Contractor 19,Utility 4,Utility 4,3641.5447520000002,0.0,888.24,9174.091999999999
3PYWHA,Contractor 19,Utility 4,Utility 4,314.0818474,0.0,352.89,2417.644
2Q3G14,Contractor 18,Utility 4,Utility 4,2424.755471,181.9826238,190.65,313.0129
U06FVD,Contractor 20,Utility 15,Utility 15,2064.120262,50.93818469,87.88,1028.4289999999999
SEHDPS1526382282,Contractor 21,Utility 3,Utility 9,1487.967466,0.0,1840.0,92.0
SEHDPS1526382283,Contractor 2,Utility 3,Utility 9,-5432.499225,56.95493541,2922.0,355.0
0AZW83,Contractor 22,Utility 10,Utility 10,0.0,18.02446023,224.51,5416.764
L5QNR2,Contractor 23,Utility 10,Utility 10,-128.733226,25.23915261,393.07,9442.263
7D9HZS,Contractor 4,Utility 10,Utility 10,0.0,147.950894,364.46,4243.259
SGHDPS1526295705,Contractor 10,Utility 11,Utility 9,53.74631022,17.66925042,2782.0,364.0
HQG4LV,Contractor 22,Utility 4,Utility 4,14309.677619999999,570.9410455,182.97,2822.685
8OR4YT,Contractor 24,Utility 10,Utility 10,2813.647393,109.62930190000002,426.03,3709.848
EQEZKA,Contractor 8,Utility 10,Utility 10,0.0,242.7755517,396.85,6805.393
U4I0SA,Contractor 25,Utility 4,Utility 4,0.0,155.18820780000001,288.76,3229.777
ULVPKA,Contractor 24,Utility 10,Utility 10,2009.1599640000002,0.0,533.55,6810.081999999999
AF9DQT,Contractor 8,Utility 10,Utility 10,2434.728693,0.0,186.49,4301.29
PPWVL1,Contractor 26,Utility 4,Utility 4,0.0,182.0338946,441.31,4063.013
45KPVM,Contractor 27,Utility 4,Utility 10,0.0,104.3954875,,
L8BOJK,Contractor 24,Utility 10,Utility 10,0.0,0.0,304.91,3090.8559999999998
YWVQRH,Contractor 9,Utility 4,Utility 4,0.0,236.66878390000002,258.12,470.1055
FYLPU8,Contractor 28,Utility 4,Utility 4,2417.0241539999997,-40.32731154,599.8,-466.8816
4GY9LD,Contractor 13,Utility 4,Utility 4,0.0,101.45113470000001,337.63,-297.4795
LVCZ3A,Contractor 29,Utility 4,Utility 4,0.0,360.7365812,723.57,4569.167
054KH6,Contractor 12,Utility 4,Utility 4,0.0,0.0,589.93,1071.219
8021729508,Contractor 30,Utility 7,Utility 7,0.0,230.6888201,1548.0,341.0
SGVVSO,Contractor 24,Utility 10,Utility 10,0.0,-56.80023899,727.31,4797.479
KBOMH0,Contractor 9,Utility 4,Utility 4,765.2687736,108.38120819999999,547.31,389.8007
7MSAMO,Contractor 24,Utility 10,Utility 10,0.0,0.0,252.3,3843.2
1MO425,Contractor 31,Utility 4,Utility 4,0.0,332.6006391,301.93,1372.2160000000001
KM71DE,Contractor 24,Utility 10,Utility 10,1306.491256,410.0438975,155.57,3211.8990000000003
DWZN1H,Contractor 4,Utility 4,Utility 4,2190.0566710000003,263.02754619999996,213.7,3682.884
Y8WOA7,Contractor 24,Utility 10,Utility 10,-524.305162,27.442574199999996,273.3,3265.533
MT31P4,Contractor 32,Utility 4,Utility 4,3533.973161,90.61907804,293.77,2742.966
UFUTA5,Contractor 33,Utility 4,Utility 4,-326.99487830000004,294.4864202,416.2,6018.757
ZBSR8E,Contractor 34,Utility 4,Utility 4,0.0,0.0,141.49,19.34349
T56WG5,Contractor 18,Utility 4,Utility 4,0.0,23.00958849,196.11,179.66
FOJPIJ,Contractor 13,Utility 4,Utility 4,150.52657480000002,69.33895678,405.66,3078.2529999999997
WP6ANZ,Contractor 35,Utility 10,Utility 10,0.0,84.63282454,300.79,2369.871
L4JSML,Contractor 8,Utility 10,Utility 10,231.0284361,452.5833057,229.83,5528.1359999999995
CHKXPG,Contractor 18,Utility 4,Utility 4,0.0,204.7985407,220.31,1559.789
WC7CIU,Contractor 36,Utility 10,Utility 10,-2452.875305,196.6785945,838.05,11037.81
VZ1RRX,Contractor 5,Utility 4,Utility 4,0.0,147.1092594,,8306.858
OW4PY5,Contractor 12,Utility 4,Utility 4,1613.7775199999999,109.8028226,494.14,870.4572
TTX4IS,Contractor 37,Utility 10,Utility 10,0.0,92.41246134,222.37,4921.454000000001
A3AVTH,Contractor 24,Utility 10,Utility 10,-268.6118474,160.2399365,643.88,2962.192
SEHDPS1526388714,Contractor 2,Utility 3,Utility 9,279.34464460000004,143.0068554,1628.0,230.0
SEHDPS1526388716,Contractor 6,Utility 3,Utility 9,506.76775310000005,253.8526957,1548.0,168.0
SEHDPS1526388710,Contractor 2,Utility 3,Utility 9,0.0,140.4973215,1571.0,251.0
SEHDPS1526388713,Contractor 2,Utility 3,Utility 9,0.0,292.6884142,1624.0,138.0
FPX453,Contractor 38,Utility 4,Utility 4,-2690.1828649999998,200.6702786,331.41,890.6799
SEHDPS1526388719,Contractor 39,Utility 3,Utility 9,0.0,0.10204708,-2355.0,291.0
LJBW3M,Contractor 9,Utility 4,Utility 4,-1746.332216,0.0,388.63,13292.79
DZP0NG,Contractor 40,Utility 4,Utility 4,-1162.733723,78.25048702,511.56,950.1758
702LGM,Contractor 9,Utility 4,Utility 4,0.0,-64.91171168,148.27,104.6307
QXZ1OQ,Contractor 22,Utility 10,Utility 10,0.0,121.2982159,227.51,4449.59
Y2OVOG,Contractor 24,Utility 10,Utility 10,659.6411407,0.0,962.01,13676.73
5I6E1O,Contractor 23,Utility 10,Utility 10,274.20185730000003,0.0,75.46,2285.17
OE5FAK,Contractor 24,Utility 10,Utility 10,-1041.334369,0.0,809.67,9467.175
CGJT9D,Contractor 41,Utility 4,Utility 4,-3567.3515049999996,0.0,184.11,1389.5079999999998
F1B546,Contractor 42,Utility 10,Utility 10,-499.0313137,-65.27270962,716.23,7598.476
4OA284,Contractor 17,Utility 4,Utility 4,-1509.0737609999999,0.0,208.53,2186.1079999999997
LU4YO6,Contractor 43,Utility 4,Utility 4,-1073.162402,299.9334998,,
HUR5Z8,Contractor 13,Utility 4,Utility 4,41.904188299999994,193.32096669999999,989.74,5470.398
N8QR84,Contractor 8,Utility 10,Utility 10,727.6309855000001,79.3564862,262.11,4850.821
HAJH9S,Contractor 44,Utility 4,Utility 4,0.0,94.71841498,152.16,4035.4629999999997
6033367454,Contractor 30,Utility 7,Utility 7,0.0,177.4766294,2787.0,169.0
